6 Unweighted 6
A, 0.0, 62.0, 65.0, 50.0, 54.0, 58.0
B, 58.0, 0.0, 49.0, 48.0, 38.0, 39.0
C, 48.0, 38.0, 0.0, 57.0, 43.0, 30.0
D, 50.0, 43.0, 31.0, 0.0, 58.0, 48.0
E, 54.0, 57.0, 46.0, 52.0, 0.0, 57.0
F, 77.0, 51.0, 42.0, 38.0, 59.0, 0.0
6 Weighted 6-1
A, 0.0, 119.0, 117.0, 137.0, 131.0, 131.0
B, 125.0, 0.0, 117.0, 114.0, 113.0, 121.0
C, 10.0, 19.0, 0.0, 10.0, 20.0, 8.0
D, 13.0, 15.0, 8.0, 0.0, 17.0, 19.0
E, 17.0, 18.0, 12.0, 15.0, 0.0, 14.0
F, 18.0, 8.0, 10.0, 7.0, 17.0, 0.0
6 Weighted 6-2
A, 0.0, 8.0, 11.0, 14.0, 9.0, 10.0
B, 10.0, 0.0, 9.0, 14.0, 11.0, 12.0
C, 138.0, 128.0, 0.0, 125.0, 120.0, 119.0
D, 10.0, 12.0, 13.0, 0.0, 17.0, 12.0
E, 123.0, 135.0, 121.0, 111.0, 0.0, 142.0
F, 13.0, 7.0, 12.0, 14.0, 20.0, 0.0
7 Unweighted 7
A, 0.0, 27.0, 43.0, 44.0, 37.0, 45.0, 34.0
B, 43.0, 0.0, 34.0, 34.0, 31.0, 37.0, 37.0
C, 20.0, 42.0, 0.0, 26.0, 31.0, 27.0, 35.0
D, 37.0, 38.0, 36.0, 0.0, 43.0, 32.0, 30.0
E, 33.0, 40.0, 34.0, 37.0, 0.0, 45.0, 41.0
F, 38.0, 32.0, 48.0, 35.0, 33.0, 0.0, 32.0
G, 35.0, 45.0, 39.0, 29.0, 27.0, 34.0, 0.0
7 Weighted 6-1
A, 0.0, 6.0, 7.0, 10.0, 6.0, 7.0, 15.0
B, 91.0, 0.0, 103.0, 104.0, 95.0, 103.0, 100.0
C, 97.0, 108.0, 0.0, 107.0, 100.0, 87.0, 104.0
D, 8.0, 9.0, 13.0, 0.0, 7.0, 5.0, 9.0
E, 10.0, 8.0, 13.0, 15.0, 0.0, 8.0, 11.0
F, 14.0, 9.0, 8.0, 16.0, 7.0, 0.0, 13.0
G, 12.0, 14.0, 14.0, 10.0, 6.0, 11.0, 0.0
7 Weighted 6-2
A, 0.0, 9.0, 11.0, 10.0, 7.0, 4.0, 7.0
B, 8.0, 0.0, 5.0, 9.0, 8.0, 14.0, 9.0
C, 11.0, 11.0, 0.0, 11.0, 6.0, 6.0, 11.0
D, 110.0, 106.0, 103.0, 0.0, 104.0, 105.0, 91.0
E, 14.0, 15.0, 10.0, 10.0, 0.0, 9.0, 6.0
F, 91.0, 102.0, 93.0, 95.0, 92.0, 0.0, 111.0
G, 6.0, 8.0, 21.0, 12.0, 18.0, 11.0, 0.0
