12 N(3) P(0.2) - 0
AA, 0.0, 46.0, 39.0, 39.0, 23.0, 21.0, 19.0, 20.0, 20.0, 25.0, 13.0, 25.0
AB, 40.0, 0.0, 39.0, 40.0, 25.0, 25.0, 19.0, 38.0, 28.0, 17.0, 25.0, 17.0
AC, 43.0, 27.0, 0.0, 35.0, 25.0, 20.0, 25.0, 20.0, 24.0, 17.0, 20.0, 20.0
AD, 43.0, 31.0, 44.0, 0.0, 29.0, 26.0, 27.0, 18.0, 16.0, 21.0, 16.0, 21.0
AE, 23.0, 21.0, 24.0, 28.0, 0.0, 33.0, 37.0, 39.0, 35.0, 16.0, 17.0, 22.0
AF, 25.0, 22.0, 23.0, 25.0, 34.0, 0.0, 44.0, 44.0, 19.0, 21.0, 17.0, 26.0
AG, 26.0, 18.0, 24.0, 24.0, 45.0, 46.0, 0.0, 51.0, 13.0, 19.0, 19.0, 17.0
AH, 25.0, 28.0, 13.0, 15.0, 47.0, 52.0, 36.0, 0.0, 25.0, 20.0, 16.0, 19.0
AI, 23.0, 24.0, 11.0, 30.0, 25.0, 25.0, 15.0, 22.0, 0.0, 31.0, 32.0, 37.0
AJ, 24.0, 19.0, 21.0, 19.0, 31.0, 18.0, 16.0, 18.0, 46.0, 0.0, 26.0, 34.0
AK, 22.0, 22.0, 18.0, 19.0, 19.0, 23.0, 22.0, 25.0, 43.0, 41.0, 0.0, 40.0
AL, 24.0, 13.0, 14.0, 24.0, 26.0, 28.0, 25.0, 20.0, 38.0, 44.0, 39.0, 0.0
12 N(3) P(0.2) - 1
AM, 0.0, 28.0, 42.0, 23.0, 34.0, 17.0, 27.0, 19.0, 16.0, 28.0, 20.0, 29.0
AN, 21.0, 0.0, 28.0, 44.0, 22.0, 23.0, 21.0, 24.0, 38.0, 21.0, 41.0, 24.0
AO, 32.0, 24.0, 0.0, 13.0, 48.0, 29.0, 23.0, 24.0, 18.0, 33.0, 20.0, 15.0
AP, 21.0, 43.0, 17.0, 0.0, 25.0, 23.0, 12.0, 25.0, 43.0, 27.0, 31.0, 24.0
AQ, 46.0, 14.0, 48.0, 21.0, 0.0, 18.0, 17.0, 25.0, 23.0, 43.0, 13.0, 15.0
AR, 20.0, 21.0, 16.0, 21.0, 17.0, 0.0, 47.0, 49.0, 28.0, 21.0, 18.0, 34.0
AS, 23.0, 24.0, 13.0, 20.0, 15.0, 33.0, 0.0, 37.0, 19.0, 16.0, 18.0, 40.0
AT, 19.0, 21.0, 22.0, 23.0, 20.0, 42.0, 44.0, 0.0, 23.0, 31.0, 22.0, 44.0
AU, 17.0, 42.0, 14.0, 49.0, 22.0, 22.0, 21.0, 20.0, 0.0, 28.0, 51.0, 16.0
AV, 37.0, 25.0, 40.0, 26.0, 42.0, 23.0, 27.0, 17.0, 27.0, 0.0, 25.0, 17.0
AW, 18.0, 43.0, 18.0, 36.0, 22.0, 26.0, 28.0, 18.0, 39.0, 21.0, 0.0, 18.0
AX, 24.0, 29.0, 20.0, 16.0, 24.0, 42.0, 34.0, 41.0, 23.0, 26.0, 22.0, 0.0
12 N(3) P(0.7) - 0
AY, 0.0, 74.0, 85.0, 75.0, 6.0, 6.0, 14.0, 9.0, 6.0, 12.0, 9.0, 10.0
AZ, 69.0, 0.0, 83.0, 70.0, 12.0, 8.0, 11.0, 4.0, 7.0, 9.0, 4.0, 8.0
BA, 86.0, 84.0, 0.0, 78.0, 7.0, 8.0, 5.0, 8.0, 10.0, 5.0, 9.0, 7.0
BB, 82.0, 97.0, 72.0, 0.0, 7.0, 6.0, 8.0, 12.0, 8.0, 9.0, 8.0, 4.0
BC, 6.0, 6.0, 9.0, 6.0, 0.0, 69.0, 62.0, 77.0, 10.0, 8.0, 5.0, 7.0
BD, 10.0, 10.0, 8.0, 13.0, 78.0, 0.0, 73.0, 77.0, 11.0, 9.0, 11.0, 5.0
BE, 10.0, 7.0, 6.0, 11.0, 74.0, 71.0, 0.0, 72.0, 6.0, 6.0, 10.0, 8.0
BF, 5.0, 4.0, 7.0, 6.0, 79.0, 69.0, 60.0, 0.0, 9.0, 11.0, 9.0, 11.0
BG, 3.0, 9.0, 0.0, 8.0, 8.0, 6.0, 5.0, 8.0, 0.0, 75.0, 79.0, 74.0
BH, 9.0, 8.0, 7.0, 13.0, 7.0, 9.0, 8.0, 8.0, 77.0, 0.0, 71.0, 82.0
BI, 9.0, 5.0, 7.0, 8.0, 5.0, 7.0, 9.0, 9.0, 69.0, 91.0, 0.0, 74.0
BJ, 8.0, 12.0, 4.0, 11.0, 8.0, 11.0, 10.0, 8.0, 64.0, 92.0, 73.0, 0.0
12 N(3) P(0.7) - 1
BK, 0.0, 6.0, 71.0, 7.0, 8.0, 5.0, 72.0, 11.0, 7.0, 93.0, 6.0, 7.0
