6 Random 1
A, 0.0, 29.0, 28.0, 31.0, 30.0, 32.0
B, 31.0, 0.0, 32.0, 30.0, 30.0, 27.0
C, 50.0, 33.0, 0.0, 31.0, 43.0, 38.0
D, 37.0, 34.0, 28.0, 0.0, 38.0, 34.0
E, 40.0, 30.0, 33.0, 41.0, 0.0, 35.0
F, 26.0, 33.0, 35.0, 32.0, 29.0, 0.0
6 Random 2
A, 0.0, 51.0, 46.0, 53.0, 58.0, 57.0
B, 49.0, 0.0, 64.0, 44.0, 45.0, 46.0
C, 58.0, 54.0, 0.0, 36.0, 51.0, 50.0
D, 44.0, 52.0, 52.0, 0.0, 49.0, 46.0
E, 41.0, 53.0, 51.0, 45.0, 0.0, 46.0
F, 49.0, 67.0, 39.0, 51.0, 53.0, 0.0
6 Random 3
A, 0.0, 90.0, 70.0, 61.0, 73.0, 56.0
B, 71.0, 0.0, 65.0, 64.0, 64.0, 73.0
C, 78.0, 62.0, 0.0, 68.0, 57.0, 69.0
D, 64.0, 84.0, 56.0, 0.0, 72.0, 70.0
E, 54.0, 65.0, 63.0, 63.0, 0.0, 63.0
F, 68.0, 66.0, 69.0, 60.0, 62.0, 0.0
