6 Weighted 1
A, 0.0, 130.0, 141.0, 123.0, 125.0, 135.0
B, 20.0, 0.0, 6.0, 22.0, 18.0, 10.0
C, 13.0, 14.0, 0.0, 19.0, 10.0, 15.0
D, 17.0, 5.0, 10.0, 0.0, 12.0, 10.0
E, 13.0, 12.0, 15.0, 15.0, 0.0, 19.0
F, 16.0, 16.0, 12.0, 11.0, 16.0, 0.0
6 Weighted 2
A, 0.0, 132.0, 111.0, 129.0, 122.0, 136.0
B, 134.0, 0.0, 120.0, 129.0, 125.0, 135.0
C, 8.0, 11.0, 0.0, 15.0, 17.0, 10.0
D, 11.0, 11.0, 9.0, 0.0, 11.0, 9.0
E, 7.0, 11.0, 12.0, 11.0, 0.0, 9.0
F, 14.0, 7.0, 14.0, 15.0, 15.0, 0.0
6 Weighted 3
A, 0.0, 80.0, 89.0, 94.0, 107.0, 85.0
B, 90.0, 0.0, 81.0, 93.0, 89.0, 80.0
C, 100.0, 103.0, 0.0, 106.0, 90.0, 88.0
D, 9.0, 10.0, 9.0, 0.0, 15.0, 11.0
E, 6.0, 10.0, 4.0, 10.0, 0.0, 6.0
F, 9.0, 5.0, 7.0, 9.0, 5.0, 0.0
