6 Unweighted 6
AA, 0.0, 49.0, 39.0, 46.0, 44.0, 70.0
AB, 59.0, 0.0, 62.0, 51.0, 40.0, 44.0
AC, 61.0, 38.0, 0.0, 54.0, 45.0, 42.0
AD, 45.0, 42.0, 46.0, 0.0, 49.0, 65.0
AE, 58.0, 52.0, 47.0, 53.0, 0.0, 42.0
AF, 59.0, 45.0, 51.0, 53.0, 49.0, 0.0
6 Weighted 6-1
AG, 0.0, 121.0, 137.0, 133.0, 138.0, 124.0
AH, 132.0, 0.0, 127.0, 125.0, 128.0, 119.0
AI, 13.0, 8.0, 0.0, 7.0, 12.0, 11.0
AJ, 8.0, 5.0, 17.0, 0.0, 12.0, 7.0
AK, 20.0, 11.0, 14.0, 11.0, 0.0, 13.0
AL, 12.0, 8.0, 6.0, 10.0, 11.0, 0.0
6 Weighted 6-2
AM, 0.0, 16.0, 18.0, 10.0, 12.0, 8.0
AN, 11.0, 0.0, 11.0, 14.0, 5.0, 13.0
AO, 131.0, 138.0, 0.0, 125.0, 103.0, 117.0
AP, 16.0, 14.0, 13.0, 0.0, 9.0, 16.0
AQ, 144.0, 137.0, 130.0, 107.0, 0.0, 120.0
AR, 14.0, 12.0, 18.0, 9.0, 9.0, 0.0
7 Unweighted 7
AS, 0.0, 38.0, 30.0, 33.0, 38.0, 35.0, 41.0
AT, 38.0, 0.0, 41.0, 31.0, 31.0, 37.0, 32.0
AU, 38.0, 37.0, 0.0, 34.0, 43.0, 40.0, 31.0
AV, 35.0, 33.0, 33.0, 0.0, 44.0, 43.0, 29.0
AW, 30.0, 42.0, 40.0, 41.0, 0.0, 39.0, 42.0
AX, 32.0, 37.0, 33.0, 32.0, 30.0, 0.0, 32.0
AY, 24.0, 47.0, 34.0, 41.0, 27.0, 32.0, 0.0
7 Weighted 6-1
AZ, 0.0, 10.0, 12.0, 6.0, 8.0, 12.0, 10.0
BA, 96.0, 0.0, 97.0, 102.0, 97.0, 95.0, 101.0
BB, 100.0, 103.0, 0.0, 110.0, 94.0, 100.0, 98.0
BC, 11.0, 9.0, 14.0, 0.0, 8.0, 6.0, 6.0
BD, 6.0, 7.0, 12.0, 18.0, 0.0, 9.0, 18.0
BE, 10.0, 10.0, 10.0, 12.0, 12.0, 0.0, 10.0
BF, 12.0, 6.0, 17.0, 7.0, 11.0, 8.0, 0.0
7 Weighted 6-2
BG, 0.0, 12.0, 14.0, 8.0, 7.0, 14.0, 5.0
BH, 6.0, 0.0, 11.0, 13.0, 6.0, 5.0, 8.0
BI, 6.0, 8.0, 0.0, 6.0, 8.0, 12.0, 11.0
BJ, 102.0, 113.0, 106.0, 0.0, 105.0, 99.0, 117.0
BK, 6.0, 15.0, 16.0, 11.0, 0.0, 18.0, 12.0
BL, 94.0, 95.0, 99.0, 107.0, 91.0, 0.0, 83.0
BM, 8.0, 5.0, 5.0, 11.0, 8.0, 14.0, 0.0
